cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
3.162277660168379e-6,23,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model043
3.162277660168379e-6,23,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model043
3.162277660168379e-6,23,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model043
3.162277660168379e-6,23,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model043
5.623413251903491e-4,23,11,accuracy,multiclass,0.8253298753298753,10,0.010195087525648152,Preprocessor1_Model044
5.623413251903491e-4,23,11,gain_capture,macro,0.870598712543032,10,0.007899158856775295,Preprocessor1_Model044
5.623413251903491e-4,23,11,precision,macro,0.8258467961723198,10,0.009695810835191757,Preprocessor1_Model044
5.623413251903491e-4,23,11,recall,macro,0.8255022667979185,10,0.010366114098612557,Preprocessor1_Model044
5.623413251903491e-4,23,11,roc_auc,hand_till,0.9356805920661996,10,0.003912271186848289,Preprocessor1_Model044
0.1,23,11,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model045
0.1,23,11,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model045
0.1,23,11,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model045
0.1,23,11,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model045
0.1,23,11,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model045
1e-10,30,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model046
1e-10,30,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model046
1e-10,30,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model046
1e-10,30,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model046
1e-10,30,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model046
1.7782794100389228e-8,30,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model047
1.7782794100389228e-8,30,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model047
1.7782794100389228e-8,30,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model047
1.7782794100389228e-8,30,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model047
1.7782794100389228e-8,30,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model047
3.162277660168379e-6,30,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model048
3.162277660168379e-6,30,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model048
3.162277660168379e-6,30,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model048
3.162277660168379e-6,30,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model048
3.162277660168379e-6,30,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model048
5.623413251903491e-4,30,11,accuracy,multiclass,0.8253298753298753,10,0.010195087525648152,Preprocessor1_Model049
5.623413251903491e-4,30,11,gain_capture,macro,0.870598712543032,10,0.007899158856775295,Preprocessor1_Model049
5.623413251903491e-4,30,11,precision,macro,0.8258467961723198,10,0.009695810835191757,Preprocessor1_Model049
5.623413251903491e-4,30,11,recall,macro,0.8255022667979185,10,0.010366114098612557,Preprocessor1_Model049
5.623413251903491e-4,30,11,roc_auc,hand_till,0.9356805920661996,10,0.003912271186848289,Preprocessor1_Model049
